text,position,views,likes,engagement,label
Pretty simple,0.1,900000,45000,0.05,1
$1 million,0.2,900000,45000,0.05,1
"Ooh, not too hard",0.3,900000,45000,0.05,1
I don't know how to open it,0.4,900000,45000,0.05,1
I don't think it's down here,0.5,900000,45000,0.05,1
"If you don't open it from the inside, I'm not sure how to",0.6,900000,45000,0.05,1
So there is no door handle anywhere,0.7,900000,45000,0.05,1
I'm not sure how to open this door and it's too expensive for me to touch it,0.8,900000,45000,0.05,1
"And lastly, this $100,000 car, it's the first Ferrari ever made it was before they figured out the whole door thing.",0.9,900000,45000,0.05,1
Happy holidays to celebrate working away over a million dollars worth of gifts to random people that subscribe Like this happens in e-bly or open up or these Lenovo VR glasses and this Canon Power Shot camera These are just some of over one of million dollars worth of gifts We are giving it to you let's subscribe,0.0,850000,42500,0.05,1
So press the button right now,0.5,850000,42500,0.05,1
I covered this warehouse floor in new subscribers names and Where is this iPhone lands,0.0,800000,40000,0.05,1
That's subscriber gets to keep it on Co-show Co-war just one a brand new iPhone,0.25,800000,40000,0.05,1
I'm gonna be doing this every single day so make sure you subscribe right now,0.5,800000,40000,0.05,1
You can get an iPhone,0.75,800000,40000,0.05,1
Can you slice a bullet with a titana,0.0,750000,37500,0.05,1
Yes sir,0.08333333333333333,750000,37500,0.05,1
"And obviously, I don't believe him",0.16666666666666666,750000,37500,0.05,1
"So I bet $20,000 he could",0.25,750000,37500,0.05,1
So let's put it to the test,0.3333333333333333,750000,37500,0.05,1
All he has to do is slice a bullet and have before the glass shatter,0.4166666666666667,750000,37500,0.05,1
"Hey, hey for this",0.5,750000,37500,0.05,1
Clubs,0.5833333333333334,750000,37500,0.05,1
This is just not possible,0.6666666666666666,750000,37500,0.05,1
You only have a few shots left,0.75,750000,37500,0.05,1
Fire when you're ready,0.8333333333333334,750000,37500,0.05,1
I'm not gonna do this but you're gonna drop it.,0.9166666666666666,750000,37500,0.05,1
Guess the gift and you win it,0.0,700000,35000,0.05,1
"A motorcycle, right get open it",0.03333333333333333,700000,35000,0.05,1
Of course,0.06666666666666667,700000,35000,0.05,1
It's actually a hundred iPhones,0.1,700000,35000,0.05,1
Sorry Jake,0.13333333333333333,700000,35000,0.05,1
How did he not know,0.16666666666666666,700000,35000,0.05,1
"Jake, I'll give you another shot",0.2,700000,35000,0.05,1
Guess this gift and you win it,0.23333333333333334,700000,35000,0.05,1
Think about it though,0.26666666666666666,700000,35000,0.05,1
This still seems like a trick,0.3,700000,35000,0.05,1
Final guess,0.3333333333333333,700000,35000,0.05,1
Is this like a CV made of I,0.36666666666666664,700000,35000,0.05,1
Oh,0.4,700000,35000,0.05,1
Oh,0.43333333333333335,700000,35000,0.05,1
Oh,0.4666666666666667,700000,35000,0.05,1
That's it,0.5,700000,35000,0.05,1
What would make you think this is iPhone,0.5333333333333333,700000,35000,0.05,1
Clearly a CV,0.5666666666666667,700000,35000,0.05,1
What an old final chance,0.6,700000,35000,0.05,1
Look at this,0.6333333333333333,700000,35000,0.05,1
There's two choices,0.6666666666666666,700000,35000,0.05,1
iPhones in the shape of a car or a car,0.7,700000,35000,0.05,1
I need your final answer,0.7333333333333333,700000,35000,0.05,1
What is the gift,0.7666666666666667,700000,35000,0.05,1
Car made out of iPhones,0.8,700000,35000,0.05,1
Open it up,0.8333333333333334,700000,35000,0.05,1
Nooo,0.8666666666666667,700000,35000,0.05,1
How many iPhones do you think we can,0.9,700000,35000,0.05,1
"It's not a 35,000-dollar car, but here's an iPhone",0.9333333333333333,700000,35000,0.05,1
Thank you.,0.9666666666666667,700000,35000,0.05,1
Are you subscribed to Mr,0.0,650000,32500,0.05,1
Beast,0.030303030303030304,650000,32500,0.05,1
"Oh, I am",0.06060606060606061,650000,32500,0.05,1
"Never mind, then",0.09090909090909091,650000,32500,0.05,1
Are you subscribed to Mr,0.12121212121212122,650000,32500,0.05,1
Beast,0.15151515151515152,650000,32500,0.05,1
Of course I am,0.18181818181818182,650000,32500,0.05,1
Let me see,0.21212121212121213,650000,32500,0.05,1
"Don't worry, we'll be on this fall, I can't",0.24242424242424243,650000,32500,0.05,1
But we're putting you on this fall,0.2727272727272727,650000,32500,0.05,1
"Oh, no",0.30303030303030304,650000,32500,0.05,1
"Oh, no",0.3333333333333333,650000,32500,0.05,1
Are you subscribed to Mr,0.36363636363636365,650000,32500,0.05,1
Beast,0.3939393939393939,650000,32500,0.05,1
He subscribed,0.42424242424242425,650000,32500,0.05,1
"OK, if you call someone in the answer, I will give you 10 grand and the person that answers",0.45454545454545453,650000,32500,0.05,1
Who are you thinking,0.48484848484848486,650000,32500,0.05,1
Momol,0.5151515151515151,650000,32500,0.05,1
"If she doesn't answer, you get $0",0.5454545454545454,650000,32500,0.05,1
"She might write, she might write a diagonal",0.5757575757575758,650000,32500,0.05,1
He's based on me,0.6060606060606061,650000,32500,0.05,1
Will his mom answer 10 grand for him on the line,0.6363636363636364,650000,32500,0.05,1
10 grand for his mom,0.6666666666666666,650000,32500,0.05,1
"Oh, she answers",0.696969696969697,650000,32500,0.05,1
"Wait, she answered",0.7272727272727273,650000,32500,0.05,1
"Oh my god, is Mr",0.7575757575757576,650000,32500,0.05,1
Thee,0.7878787878787878,650000,32500,0.05,1
"Wait, your mom knows who I am",0.8181818181818182,650000,32500,0.05,1
"Yeah, she wants you",0.8484848484848485,650000,32500,0.05,1
"Oh, hey",0.8787878787878788,650000,32500,0.05,1
"That is your $10,000",0.9090909090909091,650000,32500,0.05,1
This is your mom's 10 grand,0.9393939393939394,650000,32500,0.05,1
Make sure you subscribe.,0.9696969696969697,650000,32500,0.05,1
"If you can beat any animal on the planet, what would it be",0.0,600000,30000,0.05,1
"A cheetah, but they live in Africa",0.1,600000,30000,0.05,1
"I mean, that is true",0.2,600000,30000,0.05,1
Or not in Africa,0.3,600000,30000,0.05,1
Yet,0.4,600000,30000,0.05,1
MMMM,0.5,600000,30000,0.05,1
A FASM,0.6,600000,30000,0.05,1
A FASM,0.7,600000,30000,0.05,1
AHHHHH,0.8,600000,30000,0.05,1
"Go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go",0.9,600000,30000,0.05,1
I'm about to surprise the college classroom,0.0,550000,27500,0.05,1
How's it going everybody,0.06666666666666667,550000,27500,0.05,1
How's it going,0.13333333333333333,550000,27500,0.05,1
Are any of you guys subscribed to Mr,0.2,550000,27500,0.05,1
Beast,0.26666666666666666,550000,27500,0.05,1
Come on down,0.3333333333333333,550000,27500,0.05,1
"Okay, he has subscribed",0.4,550000,27500,0.05,1
"If you flip this coin and it lands on the money symbol, I will give you $30,000, but if it lands on the tiger symbol, you get nothing",0.4666666666666667,550000,27500,0.05,1
"And I'll split the money with everyone here, which is roughly $7,00",0.5333333333333333,550000,27500,0.05,1
Wow,0.6,550000,27500,0.05,1
Bring in the money,0.6666666666666666,550000,27500,0.05,1
Oh my God,0.7333333333333333,550000,27500,0.05,1
"Okay, you got to flip it really high",0.8,550000,27500,0.05,1
I need a bunch of spins,0.8666666666666667,550000,27500,0.05,1
"Woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo, woo",0.9333333333333333,550000,27500,0.05,1
